MAINTENANCE_ID,START_TIME,END_TIME,PART_TYPE,MAINTENANCE_LOCAL,MAINTENANCE_TYPE,SERVICE_NAME,OBSERVATION,PART_NUMBER,MACHINERY_ID,MACHINERY_HOURMETER,OPERATION,REPAIR_TIME,START_YEAR,START_MONTH,START_DATE_CONCAT,TIME_SINCE_LAST_REPAIR
79789,2020-03-11 11:40:00,2020-03-11 13:40:00,TERMINAL HIDRAULICO,Santa Maria do Jauru,Corretiva,TERMINAL P/ MANGUEIRA DE 3/4'',"Falha de operação, batida na árvore ",2.0,HV 08,1765,Corte,2.0,2020,3,2020-3,0.0
82605,2021-05-30 15:00:00,2021-05-31 15:51:00,PARAFUSO,,Corretiva,PARAFUSOS DIVERSOS,Perdeu parafuso radiador,2.0,HV 08,1800,Corte,24.0,2021,5,2021-5,35.0
79807,2020-03-17 09:50:00,2020-03-17 11:10:00,FILTROS,Santa Maria do Jauru,Revisão Periódica,FILTRO DO MOTOR,Revisão ,1.0,HV 08,1822,Corte,1.0,2020,3,2020-3,22.0
79880,2020-03-18 09:00:00,2020-03-18 10:00:00,MANGUEIRA HIDRÁULICA,Cacimba,Corretiva,"MANGUEIRA 3/4""",Atrito da mangueira com a carcaça do cabeçote ,1.55,HV 08,1831,Corte,1.0,2020,3,2020-3,9.0
79886,2020-03-18 08:10:00,2020-03-18 08:30:00,CONJUNTO DE CORTE,Cacimba,Revisão Periódica,PONTA ESTRELA DE CORTE,Desgaste por tempo de uso ,3.0,HV 08,1831,Corte,0.0,2020,3,2020-3,0.0
79886,2020-03-18 08:10:00,2020-03-18 08:30:00,CONJUNTO DE CORTE,Cacimba,Revisão Periódica,CORRENTE DE CORTE,Desgaste por tempo de uso ,6.0,HV 08,1831,Corte,0.0,2020,3,2020-3,0.0
79888,2020-03-19 11:00:00,2020-03-19 11:30:00,CONJUNTO DE CORTE,Cacimba,Corretiva,PONTA ESTRELA DE CORTE,"Quebrado os parafusos do grampo do sabre,por peso das árvores ",3.0,HV 08,1890,Corte,0.0,2020,3,2020-3,59.0
79888,2020-03-19 11:00:00,2020-03-19 11:30:00,CONJUNTO DE CORTE,Cacimba,Corretiva,CORRENTE DE CORTE,"Quebrado os parafusos do grampo do sabre,por peso das árvores ",6.0,HV 08,1890,Corte,0.0,2020,3,2020-3,0.0
79891,2020-03-19 11:00:00,2020-03-19 12:00:00,MANUAL REPAIR,Cacimba,Corretiva,SERVICE WITHOUT PARTS,"Quebrado os parafusos do grampo do sabre,por peso das árvores ",1.0,HV 08,1890,Corte,1.0,2020,3,2020-3,0.0
79888,2020-03-19 11:00:00,2020-03-19 11:30:00,PEÇAS KOMATSU,Cacimba,Corretiva,GRAMPO DO SABRE KOMATSU,"Quebrado os parafusos do grampo do sabre,por peso das árvores ",1.0,HV 08,1890,Corte,0.0,2020,3,2020-3,0.0
79890,2020-03-25 10:00:00,2020-03-27 16:00:00,MANGUEIRA HIDRÁULICA,Cacimba,Preventiva,"MANGUEIRA 3/8""","Colocando proteção, ajuste da roda de medição, desamassar peito de aço e soldar ,limpeza geral ",1.8,HV 08,1891,Corte,54.0,2020,3,2020-3,1.0
79890,2020-03-25 10:00:00,2020-03-27 16:00:00,DIVERSOS,Cacimba,Preventiva,MONTAGENS E DESMONTAGENS,"Colocando proteção, ajuste da roda de medição, desamassar peito de aço e soldar ,limpeza geral ",3.0,HV 08,1891,Corte,54.0,2020,3,2020-3,0.0
79890,2020-03-25 10:00:00,2020-03-27 16:00:00,ELETRODOS,Cacimba,Preventiva,"ELETRODO 6013 X 3,25MM","Colocando proteção, ajuste da roda de medição, desamassar peito de aço e soldar ,limpeza geral ",6.0,HV 08,1891,Corte,54.0,2020,3,2020-3,0.0
79890,2020-03-25 10:00:00,2020-03-27 16:00:00,PEÇAS KOMATSU,Cacimba,Preventiva,PINO DIVERSOS KOMATSU,"Colocando proteção, ajuste da roda de medição, desamassar peito de aço e soldar ,limpeza geral ",1.0,HV 08,1891,Corte,54.0,2020,3,2020-3,0.0
79890,2020-03-25 10:00:00,2020-03-27 16:00:00,TERMINAL HIDRAULICO,Cacimba,Preventiva,TERMINAL P/ MANGUEIRA DE 3/8'',"Colocando proteção, ajuste da roda de medição, desamassar peito de aço e soldar ,limpeza geral ",2.0,HV 08,1891,Corte,54.0,2020,3,2020-3,0.0
